timestamp,label,temperature
2023-03-25 15:44:41.458242396 +05:30,coretemp Core 0,35.0
2023-03-25 15:44:41.458455182 +05:30,coretemp Core 1,34.0
2023-03-25 15:44:41.458489871 +05:30,coretemp Core 2,36.0
2023-03-25 15:44:41.458526380 +05:30,coretemp Core 3,31.0
2023-03-25 15:44:41.458585068 +05:30,coretemp Package id 0,39.0
2023-03-25 15:44:42.487840667 +05:30,coretemp Core 0,33.0
2023-03-25 15:44:42.487913432 +05:30,coretemp Core 1,36.0
2023-03-25 15:44:42.487958677 +05:30,coretemp Core 2,34.0
2023-03-25 15:44:42.487998679 +05:30,coretemp Core 3,33.0
2023-03-25 15:44:42.488038572 +05:30,coretemp Package id 0,39.0
2023-03-25 15:44:43.528661406 +05:30,coretemp Core 0,33.0
2023-03-25 15:44:43.528735777 +05:30,coretemp Core 1,33.0
2023-03-25 15:44:43.528776251 +05:30,coretemp Core 2,36.0
2023-03-25 15:44:43.528804647 +05:30,coretemp Core 3,31.0
2023-03-25 15:44:43.528831025 +05:30,coretemp Package id 0,38.0
2023-03-25 15:44:44.557681947 +05:30,coretemp Core 0,33.0
2023-03-25 15:44:44.557740666 +05:30,coretemp Core 1,34.0
2023-03-25 15:44:44.557774210 +05:30,coretemp Core 2,37.0
2023-03-25 15:44:44.557804625 +05:30,coretemp Core 3,32.0
2023-03-25 15:44:44.557833406 +05:30,coretemp Package id 0,39.0
2023-03-25 15:44:45.573188275 +05:30,coretemp Core 0,35.0
2023-03-25 15:44:45.573238402 +05:30,coretemp Core 1,34.0
2023-03-25 15:44:45.573264676 +05:30,coretemp Core 2,36.0
2023-03-25 15:44:45.573289811 +05:30,coretemp Core 3,31.0
2023-03-25 15:44:45.573313818 +05:30,coretemp Package id 0,39.0
2023-03-25 15:44:46.600977796 +05:30,coretemp Core 0,34.0
2023-03-25 15:44:46.601025818 +05:30,coretemp Core 1,34.0
2023-03-25 15:44:46.601047871 +05:30,coretemp Core 2,38.0
2023-03-25 15:44:46.601069577 +05:30,coretemp Core 3,32.0
2023-03-25 15:44:46.601106199 +05:30,coretemp Package id 0,39.0
2023-03-25 15:44:47.617266987 +05:30,coretemp Core 0,35.0
2023-03-25 15:44:47.617365627 +05:30,coretemp Core 1,34.0
2023-03-25 15:44:47.617420051 +05:30,coretemp Core 2,36.0
2023-03-25 15:44:47.617456260 +05:30,coretemp Core 3,33.0
2023-03-25 15:44:47.617482743 +05:30,coretemp Package id 0,39.0
2023-03-25 15:44:48.644588555 +05:30,coretemp Core 0,36.0
2023-03-25 15:44:48.644625956 +05:30,coretemp Core 1,34.0
2023-03-25 15:44:48.644635337 +05:30,coretemp Core 2,38.0
2023-03-25 15:44:48.644656263 +05:30,coretemp Core 3,32.0
2023-03-25 15:44:48.644665600 +05:30,coretemp Package id 0,39.0
2023-03-25 15:44:49.659888127 +05:30,coretemp Core 0,34.0
2023-03-25 15:44:49.660005303 +05:30,coretemp Core 1,34.0
2023-03-25 15:44:49.660038514 +05:30,coretemp Core 2,36.0
2023-03-25 15:44:49.660079914 +05:30,coretemp Core 3,33.0
2023-03-25 15:44:49.660127354 +05:30,coretemp Package id 0,39.0
2023-03-25 15:44:50.700521900 +05:30,coretemp Core 0,34.0
2023-03-25 15:44:50.700604223 +05:30,coretemp Core 1,34.0
2023-03-25 15:44:50.700651515 +05:30,coretemp Core 2,36.0
2023-03-25 15:44:50.700697247 +05:30,coretemp Core 3,31.0
2023-03-25 15:44:50.700732347 +05:30,coretemp Package id 0,39.0
2023-03-25 15:44:51.703826510 +05:30,coretemp Core 0,36.0
2023-03-25 15:44:51.703903099 +05:30,coretemp Core 1,35.0
2023-03-25 15:44:51.703929720 +05:30,coretemp Core 2,36.0
2023-03-25 15:44:51.703955895 +05:30,coretemp Core 3,32.0
2023-03-25 15:44:51.703981113 +05:30,coretemp Package id 0,40.0
2023-03-25 15:44:52.744240250 +05:30,coretemp Core 0,35.0
2023-03-25 15:44:52.744302631 +05:30,coretemp Core 1,34.0
2023-03-25 15:44:52.744344218 +05:30,coretemp Core 2,36.0
2023-03-25 15:44:52.744370438 +05:30,coretemp Core 3,33.0
2023-03-25 15:44:52.744394719 +05:30,coretemp Package id 0,39.0
2023-03-25 15:44:53.759533145 +05:30,coretemp Core 0,35.0
2023-03-25 15:44:53.759597037 +05:30,coretemp Core 1,34.0
2023-03-25 15:44:53.759622318 +05:30,coretemp Core 2,36.0
2023-03-25 15:44:53.759661530 +05:30,coretemp Core 3,32.0
2023-03-25 15:44:53.759696863 +05:30,coretemp Package id 0,40.0
2023-03-25 15:44:54.776186089 +05:30,coretemp Core 0,34.0
2023-03-25 15:44:54.776264959 +05:30,coretemp Core 1,34.0
2023-03-25 15:44:54.776294801 +05:30,coretemp Core 2,36.0
2023-03-25 15:44:54.776338195 +05:30,coretemp Core 3,33.0
2023-03-25 15:44:54.776366926 +05:30,coretemp Package id 0,39.0
2023-03-25 15:44:55.804566751 +05:30,coretemp Core 0,35.0
2023-03-25 15:44:55.804619539 +05:30,coretemp Core 1,35.0
2023-03-25 15:44:55.804641755 +05:30,coretemp Core 2,37.0
2023-03-25 15:44:55.804662986 +05:30,coretemp Core 3,33.0
2023-03-25 15:44:55.804684209 +05:30,coretemp Package id 0,40.0
2023-03-25 15:44:56.808867905 +05:30,coretemp Core 0,34.0
2023-03-25 15:44:56.808939198 +05:30,coretemp Core 1,34.0
2023-03-25 15:44:56.808964342 +05:30,coretemp Core 2,36.0
2023-03-25 15:44:56.808987920 +05:30,coretemp Core 3,33.0
2023-03-25 15:44:56.809010859 +05:30,coretemp Package id 0,40.0
2023-03-25 15:44:57.850128708 +05:30,coretemp Core 0,36.0
2023-03-25 15:44:57.850177588 +05:30,coretemp Core 1,36.0
2023-03-25 15:44:57.850212637 +05:30,coretemp Core 2,37.0
2023-03-25 15:44:57.850241739 +05:30,coretemp Core 3,34.0
2023-03-25 15:44:57.850262219 +05:30,coretemp Package id 0,40.0
2023-03-25 15:44:58.865396248 +05:30,coretemp Core 0,34.0
2023-03-25 15:44:58.865462198 +05:30,coretemp Core 1,35.0
2023-03-25 15:44:58.865491071 +05:30,coretemp Core 2,37.0
2023-03-25 15:44:58.865517658 +05:30,coretemp Core 3,33.0
2023-03-25 15:44:58.865545209 +05:30,coretemp Package id 0,39.0
2023-03-25 15:44:59.893599470 +05:30,coretemp Core 0,34.0
2023-03-25 15:44:59.893674919 +05:30,coretemp Core 1,34.0
2023-03-25 15:44:59.893705991 +05:30,coretemp Core 2,36.0
2023-03-25 15:44:59.893736345 +05:30,coretemp Core 3,33.0
2023-03-25 15:44:59.893765092 +05:30,coretemp Package id 0,39.0
2023-03-25 15:45:00.908853487 +05:30,coretemp Core 0,35.0
2023-03-25 15:45:00.908947729 +05:30,coretemp Core 1,35.0
2023-03-25 15:45:00.909000730 +05:30,coretemp Core 2,38.0
2023-03-25 15:45:00.909052091 +05:30,coretemp Core 3,33.0
2023-03-25 15:45:00.909101708 +05:30,coretemp Package id 0,40.0
2023-03-25 15:45:01.912184211 +05:30,coretemp Core 0,34.0
2023-03-25 15:45:01.912272970 +05:30,coretemp Core 1,36.0
2023-03-25 15:45:01.912287553 +05:30,coretemp Core 2,38.0
2023-03-25 15:45:01.912304771 +05:30,coretemp Core 3,35.0
2023-03-25 15:45:01.912346106 +05:30,coretemp Package id 0,40.0
2023-03-25 15:45:02.952292504 +05:30,coretemp Core 0,35.0
2023-03-25 15:45:02.952399339 +05:30,coretemp Core 1,35.0
2023-03-25 15:45:02.952450334 +05:30,coretemp Core 2,37.0
2023-03-25 15:45:02.952543129 +05:30,coretemp Core 3,33.0
2023-03-25 15:45:02.952614845 +05:30,coretemp Package id 0,40.0
2023-03-25 15:45:03.980434530 +05:30,coretemp Core 0,34.0
2023-03-25 15:45:03.980479091 +05:30,coretemp Core 1,34.0
2023-03-25 15:45:03.980501192 +05:30,coretemp Core 2,36.0
2023-03-25 15:45:03.980522090 +05:30,coretemp Core 3,33.0
2023-03-25 15:45:03.980543156 +05:30,coretemp Package id 0,40.0
